"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DRAXIN",99.2963307445289,0.772163082750307,0.188010745443822,4.1070156970418,4.00804000969834e-05,0.000149017720269804
"AGTRAP",159.280042782317,-1.22181908654555,0.158120620622231,-7.7271331325256,1.0999559489287e-14,1.08318612872372e-13
"MTHFR",497.733049289594,1.840040387489,0.099030780753783,18.5804895557052,4.6226898863492e-77,3.621978019213e-75
"CLCN6",375.881391251688,0.777400107705965,0.112656216894702,6.90064098666286,5.17684137487242e-12,4.12430850647992e-11
"NPPA-AS1",42.015355890122,1.59025544122291,0.293060271861903,5.42637673513209,5.75095088120187e-08,3.10200197037231e-07
"NPPA",29.0017406969191,1.72077087425261,0.386787561080564,4.44887852506246,8.63198160472428e-06,3.56536650237764e-05
"KIAA2013",856.267895828012,1.09416860568864,0.0867917842937963,12.6068223460506,1.93644355331226e-36,5.76804120235375e-35
"PLOD1",3541.35035487131,1.51076865197337,0.0691816036501514,21.8377223461495,1.01700279447769e-105,1.32807299704945e-103
"MFN2",1786.66979382828,0.376745122676516,0.0661522356395172,5.69512306023201,1.23282967489225e-08,7.14827013231445e-08
"KAZN",114.002421329822,-0.787523278064527,0.185158212824429,-4.25324518989214,2.10694660120543e-05,8.21312669269373e-05
"TMEM51",214.499194265642,0.659874727437839,0.133542555683223,4.94130671726194,7.7600720265227e-07,3.64367529937378e-06
"FHAD1",86.1251969224601,-0.824649383140332,0.202533174081961,-4.07167560019878,4.66761548132285e-05,0.000171558430734079
"EFHD2",657.11723473452,0.900867675765362,0.0973642176573518,9.25255394066568,2.1919152522495e-20,3.1549923930342e-19
"CTRC",2.24255723253506,3.92573223983003,1.6031418496267,2.448774099899,0.0143343318008882,0.0332200351573826
"CASP9",119.501675682489,0.583976394994877,0.188160976186567,3.10359994314574,0.00191181650779453,0.00535564204678458
"PLEKHM2",632.564728989472,0.452755698839431,0.0926349785025795,4.88752419613099,1.02111948948003e-06,4.72927122074521e-06
"FBLIM1",67.767459218772,1.03611701230211,0.229287671021353,4.51885183222792,6.21758856020894e-06,2.61792437952162e-05
"SPEN",3155.28179500106,1.15234436378229,0.0762000908990279,15.1226114061892,1.14894437287125e-51,5.17628163587819e-50
"ZBTB17",193.074194601589,0.529190120766049,0.141861387922177,3.73033232310088,0.000191227373882157,0.000639827052493567
"EPHA2",2987.53132435726,1.39016858714624,0.0658820683932938,21.1008643330292,7.80955181496984e-99,9.01672936103412e-97
"ARHGEF19",392.228812696512,0.448753576154875,0.1046653982791,4.28750650676578,1.80689966311108e-05,7.12052019001198e-05
"FBXO42",694.419845342115,1.27363363207631,0.0869333979224018,14.6506827354566,1.33368796772468e-48,5.58939322473638e-47
"NECAP2",503.620922868431,0.464382345733265,0.104580439883175,4.44043213293058,8.97784152610479e-06,3.69873665614615e-05
"RNU1-1",50.6547515269788,-0.991860474984098,0.279598956898124,-3.54743982591286,0.000388994600335313,0.00123612620219409
"LINC01783",5.07547896674202,-2.32545466554574,0.975616573163786,-2.38357437697539,0.0171454194078656,0.0389091554148277
"NBPF1",851.21414504158,0.362442079195685,0.0828000670425146,4.37731625277048,1.20149577382868e-05,4.85365508634087e-05
"ESPNP",67.7719140615201,1.77251552533425,0.239079359256821,7.41392118016427,1.22618811956947e-13,1.11096712432184e-12
"LOC112267871",12.4209796989341,-2.88621307026643,0.691463421246078,-4.17406471779118,2.99212698300791e-05,0.000113589889110566
"RNU1-2",17.3917301153979,-1.54775663168179,0.503048392455531,-3.07675495020813,0.00209267259323348,0.00581886326225283
"ATP13A2",565.222994004971,0.497002001265003,0.091171248886099,5.45130188888727,5.0002404060518e-08,2.71168619793739e-07
"SDHB",848.956005855285,0.269033097164354,0.0910833285333062,2.95370296075618,0.00313986065126969,0.00842642275450948
"PADI2",77.2590988695041,0.531481147911322,0.208765116503749,2.54583312007385,0.0109017291361136,0.0260557109763797
"RCC2",2450.25109511081,-0.619577441108154,0.0645816356053804,-9.59370934632284,8.49739005554489e-22,1.31105707355286e-20
"ARHGEF10L",168.408228081626,-0.386573169876043,0.145921241748784,-2.64919051704317,0.00806848329952979,0.0198854126833734
"ALDH4A1",153.593261970147,-0.544389110024499,0.165646136922043,-3.28645823041863,0.0010145581931966,0.00299579767320923
"IFFO2",354.417928676461,1.05234635188084,0.107847621089354,9.75771501727374,1.70963680447356e-22,2.76565214124039e-21
